peak_value,fwhm,prominence,corr_energy,qc_coincidence,qc_bell_corr,qc_hom_vis,snr_db_true,snr_db_est,local_cv,label
0.143117,430.0,4.6938,6.39161,0.360742,0.273438,0.367383,-16,-16.071,0.5423,0
0.8892131043223608,411.59361294174414,5.116034152631974,222.72743533688748,0.26958655018604516,0.23271008656630546,0.4723753445541864,6,6.084,0.502859045079681,1
0.24672871303117375,441.027365269316,4.975413758223087,18.918384608383256,0.2734383713656685,0.2583244214458855,0.3500757715548158,-14,-13.593,0.46544587793644804,0
0.55726,428.0,4.997,86.693054,0.246289,0.228711,0.450586,-4,-4.184,0.4748,1
0.930902,412.0,5.1388,239.222859,0.247656,0.146484,0.453906,8,8.025,0.5068,1
0.7698231984553242,429.26668467396877,5.057808416808363,173.60820386352572,0.22620971787722782,0.23443877448437983,0.4834304836724008,2,2.152,0.49327445254331637,1
0.902281,418.0,5.115,228.825896,0.215039,0.177539,0.488867,6,6.312,0.5046,1
0.584132159532061,410.77954122466554,5.155015483144614,87.11539214312651,0.26576121802974095,0.17422951557463073,0.47645339628281697,-4,-3.561,0.4917048781004483,1
0.929816,436.0,5.0526,246.849551,0.192383,0.173047,0.470117,8,8.071,0.4988,1
0.169018,389.0,4.7032,7.886538,0.347461,0.219336,0.431055,-20,-19.974,0.4973,0
0.169351,409.0,5.0198,8.102692,0.252148,0.274414,0.380273,-18,-17.977,0.4944,0
0.444676,382.0,5.0831,52.187266,0.303516,0.19082,0.45,-6,-6.208,0.4973,1
0.44977,404.0,5.1323,55.672825,0.302734,0.150781,0.481641,-6,-5.872,0.4741,1
0.512613,415.0,5.0181,73.6889,0.258008,0.251563,0.44375,-4,-4.436,0.4978,1
0.63027,420.0,5.0467,112.326933,0.206641,0.183008,0.45,-2,-2.004,0.4892,1
0.541412,434.0,4.8481,86.253211,0.296289,0.185938,0.424805,-4,-4.158,0.4713,1
0.781953,411.0,5.1101,168.352543,0.307617,0.199023,0.49668,2,1.738,0.5035,1
0.367392,407.0,5.0897,35.75509,0.35293,0.20957,0.352148,-10,-9.955,0.4843,0
0.442922,429.0,5.119,55.474758,0.303906,0.233203,0.379297,-6,-5.796,0.4966,1
0.9261441559801902,433.49669243250963,5.104088087448925,251.99116156804573,0.27327135872946734,0.23012154395787637,0.5042094437431782,8,8.359,0.5047142257101936,1
0.16659182766423647,461.25644819917176,5.359259938528376,8.1111132363681,0.22159714554859558,0.23151675531444008,0.4697462748351947,-20,-20.197,0.474203841963911,0
0.9318875071813533,412.264431605673,5.149480765350497,232.40089491285613,0.20802811198093388,0.21813757925568056,0.4992919033215012,8,8.279,0.4961659214108484,1
0.84983,410.0,5.0853,199.638842,0.181641,0.199023,0.46875,4,4.102,0.5034,1
0.310671,398.0,5.115,26.522471,0.326367,0.25,0.412109,-10,-10.206,0.4817,0
0.361705,428.0,5.1128,37.219594,0.312109,0.30625,0.412891,-8,-8.005,0.4669,1
0.164358,479.0,4.7442,8.360824,0.231055,0.146875,0.517969,-18,-17.956,0.483,0
0.34410827996653964,435.9675310796876,4.892685836842165,24.33405732369149,0.2612459530780205,0.245852639527592,0.40195296113578144,-8,-8.069,0.4874394466827631,1
0.244465,378.0,5.2161,15.299486,0.338281,0.304297,0.385547,-10,-10.292,0.4754,0
0.8752873507668725,410.4596787196623,5.093046965970276,215.71429930178618,0.2691767952873261,0.2360682491291246,0.4691766321476168,6,6.084,0.5018037735948686,1
0.22681,421.0,5.3493,14.077683,0.20625,0.166797,0.48125,-12,-11.753,0.4845,0
0.355325,426.0,4.9501,35.888165,0.337891,0.201758,0.45,-8,-8.125,0.4885,1
0.39973773127588996,411.1398399296817,5.055765990625634,47.21915800926191,0.3152640424331708,0.2241283620793473,0.4461555562061732,-8,-8.141,0.4847260467010207,1
0.2923161139505076,438.5114749080071,5.220630376199138,14.167264382669721,0.3154870653302334,0.23621072812091803,0.404935768542065,-10,-10.338,0.49792882196373134,0
0.157535,473.0,4.9117,7.758128,0.324609,0.26582,0.380273,-18,-17.784,0.5124,0
0.140061,348.0,5.1572,4.945044,0.338281,0.243359,0.412305,-20,-20.147,0.4808,0
0.7863537219093905,421.1395191532497,5.071310316965588,167.77161855916367,0.34671900784459914,0.2448881838039634,0.47402677855523756,2,1.922,0.4963360501862698,1
0.7594144872157118,430.3788383192822,5.072598052142961,171.34013425998458,0.27090584244085764,0.18086318637804746,0.48306492068544066,2,1.901,0.5035411403238219,1
0.11606330575378453,305.3233511332875,5.61730351588229,-1.1830230271004787,0.3556287395838859,0.27358881412836217,0.4058978651519686,-18,-17.856,0.49527020913128794,0
